order_index;Question_code;Phase;Pilares;Perguntas; Leis Geral (Brasil)
1;1.1.1;Quick_Wins;Compliance;Foram designados contatos oficiais para responder a incidentes de segurança?;LGPD Art. 41
2;1.1.2;Quick_Wins;Control;Você utiliza políticas de controle para restringir a provisão de recursos apenas à região brasileira?;"CF Art. 5º; MCI Art. 11; LGPD"
3;1.2.1;Quick_Wins;Compliance;Você avalia continuamente a postura de segurança e conformidade da sua nuvem?;Res. BCB 498/2025
4;1.3.1;Quick_Wins;Control;Todos os usuários possuem autenticação de múltiplos fatores (MFA) habilitada?;LGPD
5;1.3.2;Quick_Wins;Control;"A conta ""Root"" está protegida e seu uso é monitorado e restrito?";GSI/PR Normas
6;1.3.3;Quick_Wins;Control;Existe federação de identidade com provedores locais para evitar credenciais estáticas?;LGPD
7;1.3.4;Quick_Wins;Control;Acessos e permissões não utilizados são removidos periodicamente?;LGPD
8;1.4.1;Quick_Wins;Control;Há detecção automática de ameaças comuns (como exfiltração de dados)?;LGPD
9;1.4.2;Quick_Wins;Compliance;O registro de todas as chamadas de API é mantido de forma imutável para auditoria?;MCI Art. 10
10;1.4.4;Quick_Wins;Compliance;Existem alertas configurados para desvios de custos que possam indicar anomalias?;LRF (Brasil)
11;1.6.1;Quick_Wins;Control;Portas administrativas (SSH/RDP) estão fechadas para a rede pública?;GSI/PR Normas
12;1.7.1;Quick_Wins;Control;O acesso público aos buckets de dados está bloqueado globalmente?;"CF Art. 5º; LGPD"
13;1.7.2;Quick_Wins;Compliance;A postura de segurança dos dados sensíveis é analisada continuamente?;LGPD Art. 5º
14;1.8.1;Quick_Wins;Compliance;Vulnerabilidades críticas encontradas são corrigidas em prazos regulatórios?;GSI/PR Normas
15;1.9.1;Quick_Wins;Continuity;Você utiliza proteção de borda contra ataques comuns à disponibilidade?;MCI Art. 3º
16;1.10.1;Quick_Wins;Continuity;A resiliência operacional do ambiente foi avaliada contra metas de recuperação?;ISO 22301
17;2.1.1;Foundational;Compliance;Os requisitos regulatórios de soberania (LGPD/BCB) estão mapeados e documentados?;LGPD Art. 33
18;2.1.2;Foundational;Compliance;Há um plano de treinamento em segurança focado em soberania para o time?;GSI/PR
19;2.2.1;Foundational;Compliance;O inventário de ativos e mudanças de configuração é monitorado em tempo real?;ISO 27001
20;2.3.1;Foundational;Control;Você aplica guardrails organizacionais mandatórios via Landing Zone em todas as contas?;CF Art. 5º
21;2.3.2;Foundational;Control;São utilizadas credenciais temporárias para eliminar chaves estáticas?;LGPD
22;2.3.3;Foundational;Control;As instâncias EC2 utilizam a versão mais segura do serviço de metadados (IMDSv2)?;GSI/PR
23;2.4.1;Foundational;Control;Há detecção avançada de ameaças em logs de rede e DNS?;LGPD
24;2.5.1;Foundational;Compliance;As vulnerabilidades de infraestrutura (OS) são escaneadas automaticamente?;Res. BCB 498/2025
25;2.5.2;Foundational;Compliance;Vulnerabilidades em bibliotecas de aplicações são detectadas no pipeline?;GSI/PR
26;2.6.1;Foundational;Control;O acesso à rede é limitado ao estritamente necessário (Zero Trust inicial)?;Res. BCB 498/2025
27;2.6.2;Foundational;Control;Você utiliza hardware que elimina o mecanismo de acesso técnico do provedor?;Lei 4595/1964
28;2.6.3;Foundational;Control;Os ambientes de rede estão devidamente segmentados (VPCs distintas)?;Res. BCB 498/2025
